Prime, Number of Conjugate Pairs With Shortest Path Through F_p, Number of Random Pairs with Shortest Path Through F_p
80677, 252, 53
80557, 218, 56
80683, 171, 49
80701, 438, 111
80621, 721, 113
80527, 187, 67
80713, 358, 99
80611, 368, 103
80537, 594, 145
80513, 631, 180
80657, 495, 163
80737, 239, 86
80629, 508, 145
80669, 831, 189
80603, 602, 149
80627, 682, 156
80599, 384, 82
80749, 359, 68
80761, 407, 83
80681, 809, 271
80671, 449, 97
80651, 835, 189
80777, 484, 85
80567, 513, 103
80747, 601, 95
80833, 202, 44
80803, 254, 76
80789, 618, 122
80917, 221, 43
80809, 507, 117
80953, 194, 74
80687, 718, 148
80923, 316, 102
80897, 520, 111
81013, 269, 55
80779, 526, 131
80929, 497, 105
81001, 420, 102
80863, 335, 75
80849, 650, 163
81019, 429, 90
80989, 477, 138
80909, 729, 187
81017, 628, 163
80963, 572, 128
81043, 264, 56
80819, 808, 202
80933, 587, 157
81097, 333, 71
81049, 402, 91
80831, 701, 134
80911, 445, 95
81041, 719, 139
81083, 664, 108
80783, 704, 163
81101, 663, 146
81163, 225, 66
81157, 304, 101
81173, 497, 98
81181, 413, 84
81197, 620, 115
81077, 648, 214
81031, 453, 98
81283, 133, 44
81203, 424, 92
81307, 255, 47
81047, 590, 110
81131, 751, 155
81223, 307, 48
81023, 578, 131
81233, 591, 127
81349, 364, 90
81293, 580, 152
81331, 447, 99
81199, 516, 103
81343, 129, 33
81281, 745, 206
81071, 717, 157
81373, 260, 74
81421, 394, 85
81457, 295, 77
81353, 627, 176
81517, 181, 53
81409, 429, 133
81299, 752, 156
81463, 231, 52
81547, 197, 50
81401, 708, 192
81533, 514, 108
81553, 251, 69
81239, 712, 140
81439, 407, 73
81637, 307, 72
81119, 741, 193
81509, 809, 158
81559, 358, 58
81629, 638, 130
81371, 767, 214
81649, 488, 125
81359, 726, 138
81563, 556, 121
81667, 214, 67
81569, 655, 172
81677, 617, 141
81619, 541, 130
81701, 709, 174
81817, 288, 55
81527, 620, 149
81551, 789, 150
81769, 536, 115
81853, 208, 58
81727, 340, 58
81737, 601, 160
81707, 579, 117
81689, 790, 239
81761, 694, 119
81611, 782, 222
81703, 223, 59
81749, 714, 212
81799, 307, 73
81773, 663, 189
81937, 174, 36
81883, 313, 64
81647, 457, 116
81869, 690, 147
81901, 520, 107
81671, 749, 139
81847, 423, 90
81973, 158, 43
81953, 587, 111
82009, 293, 60
81943, 324, 65
81929, 771, 155
82021, 384, 80
81967, 293, 54
82003, 358, 67
81931, 416, 107
82013, 644, 117
81899, 698, 155
82037, 558, 124
82051, 392, 72
82153, 151, 49
81971, 763, 128
81919, 469, 107
82129, 306, 82
82141, 372, 93
82073, 681, 166
82189, 531, 106
82067, 471, 100
81839, 798, 173
82007, 676, 141
82237, 242, 52
82171, 311, 90
82217, 412, 81
82219, 392, 82
82039, 373, 94
82163, 636, 149
82261, 436, 87
82193, 576, 145
82183, 388, 62
82139, 753, 147
82207, 176, 47
82267, 262, 91
82387, 277, 42
82231, 440, 89
82393, 213, 64
82349, 609, 144
82457, 493, 76
82223, 470, 112
82307, 616, 111
82373, 521, 123
82031, 756, 168
82241, 739, 215
82339, 459, 108
82301, 720, 162
82279, 459, 80
82483, 188, 50
82361, 761, 225
82507, 308, 59
82469, 818, 213
82421, 755, 208
82351, 409, 102
82471, 414, 78
82531, 328, 75
82549, 469, 117
82561, 344, 97
82609, 421, 80
82493, 512, 138
82657, 234, 55
82567, 270, 50
82487, 464, 113
82633, 205, 65
82699, 324, 75
82651, 528, 96
82613, 433, 126
82529, 774, 244
82723, 208, 48
82591, 359, 79
82499, 789, 201
82601, 810, 222
82571, 602, 137
82729, 462, 134
82721, 723, 197
82559, 770, 149
82463, 690, 151
82813, 185, 48
82793, 682, 122
82757, 654, 160
82727, 469, 56
82763, 527, 101
82837, 298, 89
82619, 688, 180
82781, 746, 220
82787, 541, 139
82963, 234, 78
82903, 223, 45
82889, 716, 152
82981, 441, 112
82891, 567, 124
82939, 448, 113
83077, 147, 35
82883, 514, 141
83059, 288, 54
82913, 642, 167
82811, 746, 194
82997, 614, 158
83003, 531, 109
82759, 521, 137
82847, 578, 90
83023, 297, 59
83101, 447, 75
83089, 437, 81
83137, 288, 69
83009, 767, 210
83227, 266, 55
83203, 332, 70
83117, 368, 113
83047, 286, 67
83233, 242, 95
83093, 592, 141
83221, 410, 121
83257, 197, 62
83071, 496, 100
83269, 481, 103
83273, 477, 88
82799, 746, 200
83177, 695, 164
83063, 641, 118
83341, 330, 75
83243, 580, 128
83267, 576, 136
83357, 539, 109
83389, 347, 102
83437, 347, 79
83383, 182, 47
83401, 441, 122
83299, 496, 132
83449, 354, 81
83207, 455, 106
83407, 245, 44
83219, 679, 192
83311, 499, 89
83417, 498, 148
83339, 735, 159
83497, 260, 66
83443, 283, 71
83231, 635, 128
83477, 556, 110
83563, 233, 65
83617, 281, 63
83557, 246, 80
83561, 714, 144
83423, 649, 115
83653, 194, 70
83431, 516, 108
83537, 583, 178
83609, 646, 124
83597, 518, 158
83701, 431, 68
83689, 378, 93
83737, 197, 68
83641, 570, 154
83773, 268, 68
83399, 864, 166
83459, 781, 190
83833, 317, 57
83761, 441, 114
83857, 191, 47
83579, 669, 193
83813, 439, 77
83777, 489, 100
83621, 793, 215
83717, 701, 168
83869, 429, 99
83791, 286, 56
83843, 490, 83
83663, 543, 106
83719, 409, 87
83873, 468, 109
83471, 687, 168
83933, 471, 104
83983, 291, 57
83591, 809, 178
83987, 527, 111
84053, 552, 112
83939, 694, 121
83911, 388, 79
84067, 255, 54
84121, 345, 69
83969, 776, 190
84017, 596, 170
84061, 446, 116
83921, 727, 201
83891, 689, 180
84011, 743, 175
84089, 650, 133
83903, 678, 110
84137, 473, 103
83639, 716, 211
84181, 358, 84
84127, 403, 70
84163, 363, 81
84211, 582, 107
84313, 228, 60
84221, 777, 151
84229, 426, 98
84143, 374, 75
84247, 135, 42
84307, 195, 65
84059, 811, 250
84179, 799, 180
84047, 560, 147
84317, 669, 152
84131, 689, 182
84349, 434, 100
84199, 340, 100
84223, 313, 87
84421, 460, 105
84377, 507, 135
84263, 591, 92
84347, 607, 130
84389, 732, 157
84401, 766, 157
84319, 447, 85
84457, 414, 76
84437, 479, 117
84407, 389, 74
84191, 807, 197
84463, 207, 39
84299, 782, 243
