Prime, Number of Conjugate Pairs with Path Through Fp, Number of Conjugate Pairs, Number of (Arbitrary) Pairs with Path Through Fp, Total Number of Arbitrary Pairs
107, 1, 2, 1, 6
109, 1, 3, 3, 15
113, 1, 3, 3, 15
127, 1, 3, 1, 15
101, 1, 1, 1, 1
131, 1, 1, 1, 1
103, 0, 2, 0, 6
137, 1, 4, 5, 28
139, 1, 3, 1, 15
151, 1, 3, 1, 15
149, 2, 3, 4, 15
157, 1, 5, 1, 45
163, 1, 6, 3, 66
167, 1, 2, 1, 6
173, 3, 4, 9, 28
179, 2, 3, 4, 15
181, 2, 5, 12, 45
191, 1, 2, 1, 6
193, 2, 7, 16, 91
197, 3, 6, 19, 66
199, 1, 4, 1, 28
211, 3, 6, 11, 66
223, 1, 6, 1, 66
227, 3, 5, 9, 45
229, 2, 7, 20, 91
239, 2, 3, 4, 15
233, 4, 7, 28, 91
241, 2, 7, 28, 91
251, 2, 4, 18, 28
277, 2, 10, 26, 190
269, 4, 6, 28, 66
283, 2, 9, 14, 153
263, 2, 5, 8, 45
293, 5, 8, 45, 120
257, 4, 7, 30, 91
311, 3, 4, 5, 28
271, 2, 6, 8, 66
281, 5, 7, 37, 91
313, 1, 11, 17, 231
307, 3, 10, 11, 190
347, 6, 10, 56, 190
317, 6, 11, 58, 231
349, 5, 11, 81, 231
331, 3, 11, 23, 231
353, 4, 11, 46, 231
337, 3, 12, 69, 276
373, 5, 13, 87, 325
367, 1, 11, 7, 231
359, 4, 6, 14, 66
383, 3, 8, 21, 120
389, 6, 11, 74, 231
401, 7, 12, 97, 276
419, 6, 9, 66, 153
379, 4, 13, 54, 325
431, 6, 8, 52, 120
397, 2, 15, 14, 435
421, 4, 15, 86, 435
409, 5, 13, 103, 325
433, 3, 15, 119, 435
439, 6, 11, 50, 231
457, 3, 17, 97, 561
443, 7, 14, 81, 378
449, 9, 14, 147, 378
461, 8, 12, 134, 276
467, 5, 13, 81, 325
463, 3, 16, 17, 496
479, 5, 8, 29, 120
491, 9, 12, 117, 276
487, 3, 17, 29, 561
499, 6, 18, 94, 630
503, 6, 11, 46, 231
509, 10, 14, 176, 378
523, 4, 17, 140, 561
557, 9, 19, 213, 703
541, 7, 20, 169, 780
547, 8, 20, 106, 780
569, 11, 16, 283, 496
563, 9, 15, 183, 435
521, 11, 14, 193, 378
577, 3, 22, 91, 946
571, 8, 19, 202, 703
593, 10, 19, 264, 703
599, 10, 13, 116, 325
601, 11, 20, 285, 780
617, 7, 23, 217, 1035
587, 8, 18, 146, 630
607, 6, 19, 64, 703
613, 5, 23, 181, 1035
643, 2, 24, 72, 1128
641, 14, 20, 340, 780
653, 13, 24, 299, 1128
647, 8, 16, 90, 496
619, 5, 21, 153, 861
673, 8, 25, 274, 1225
631, 5, 20, 81, 780
661, 7, 23, 289, 1035
659, 14, 17, 274, 561
691, 8, 24, 206, 1128
701, 15, 21, 401, 861
709, 6, 27, 202, 1431
683, 12, 24, 290, 1128
677, 13, 21, 363, 861
733, 5, 27, 311, 1431
739, 9, 26, 227, 1326
757, 4, 29, 220, 1653
727, 4, 24, 78, 1128
719, 11, 15, 137, 435
743, 13, 21, 279, 861
761, 15, 22, 495, 946
773, 11, 26, 385, 1326
751, 11, 24, 207, 1128
769, 8, 27, 344, 1431
787, 5, 28, 201, 1540
821, 20, 27, 658, 1431
829, 13, 29, 513, 1653
823, 5, 30, 109, 1770
