Prime, # Conj. Pairs with Path Through Random Subgraphs, # Conj. Pairs, # Arbitrary Pairs with Path Through Random Subgraphs, Total # of Arbitrary Pairs
101, 5, 5, 35, 62
103, 7, 13, 64, 101
131, 4, 4, 70, 95
107, 7, 11, 66, 112
109, 13, 22, 67, 180
113, 11, 22, 61, 187
127, 12, 21, 98, 192
137, 13, 31, 120, 337
139, 9, 17, 132, 219
149, 9, 13, 121, 220
151, 9, 15, 141, 220
157, 11, 38, 153, 470
191, 12, 13, 190, 264
163, 16, 55, 153, 672
167, 8, 9, 115, 209
179, 12, 13, 192, 283
173, 15, 22, 202, 362
193, 14, 62, 182, 924
197, 18, 47, 313, 720
181, 10, 33, 239, 501
199, 12, 27, 207, 407
211, 21, 40, 339, 744
223, 19, 41, 420, 770
227, 16, 29, 402, 618
229, 18, 57, 403, 980
233, 24, 50, 466, 966
239, 14, 18, 329, 481
241, 18, 47, 506, 966
251, 14, 21, 437, 596
263, 18, 27, 489, 738
269, 26, 39, 600, 917
257, 19, 44, 630, 1096
271, 22, 36, 561, 917
277, 24, 86, 553, 1920
311, 19, 23, 579, 899
281, 26, 42, 791, 1157
283, 30, 71, 821, 1621
313, 27, 96, 803, 2377
307, 25, 80, 1002, 1961
293, 25, 52, 738, 1364
317, 45, 92, 964, 2376
337, 27, 103, 878, 2857
359, 22, 33, 992, 1417
331, 32, 91, 1018, 2421
349, 20, 79, 1166, 2442
347, 43, 70, 1307, 2165
373, 42, 107, 1403, 3302
353, 37, 84, 1348, 2464
367, 30, 77, 1515, 2443
397, 22, 133, 1220, 4380
383, 27, 48, 1320, 1930
379, 48, 110, 1286, 3354
389, 44, 79, 1644, 2669
401, 51, 92, 1737, 3076
419, 39, 56, 1645, 2278
409, 44, 105, 1708, 3486
431, 34, 47, 1504, 2176
421, 44, 136, 1619, 4470
457, 40, 159, 1858, 5678
439, 50, 72, 1950, 2909
443, 55, 106, 2272, 4119
479, 39, 52, 1733, 2414
463, 41, 134, 2371, 5088
461, 33, 77, 2162, 3435
433, 33, 131, 2113, 4410
449, 51, 105, 2132, 4119
467, 43, 90, 2362, 3737
491, 51, 78, 2651, 3789
487, 68, 148, 2700, 5781
499, 56, 160, 2452, 6408
503, 39, 66, 2526, 3571
509, 60, 104, 2836, 4355
521, 65, 100, 2923, 4325
577, 32, 201, 2982, 9504
541, 43, 181, 2500, 7800
547, 65, 178, 3309, 7880
523, 51, 138, 3000, 5883
563, 68, 111, 3526, 5289
571, 70, 151, 3824, 7413
569, 58, 110, 3596, 5717
557, 51, 154, 3297, 7259
613, 53, 207, 3620, 10350
617, 71, 200, 3981, 10442
599, 56, 82, 3778, 4876
601, 59, 162, 4200, 8121
593, 58, 151, 4140, 7491
587, 58, 137, 3918, 7185
619, 69, 172, 4428, 8906
607, 59, 147, 4434, 7375
631, 66, 156, 4521, 8161
643, 46, 213, 4151, 11376
647, 63, 104, 4510, 6486
653, 81, 214, 4355, 11472
641, 90, 150, 5017, 8490
673, 57, 225, 4280, 12300
659, 70, 119, 4836, 7113
709, 61, 244, 4392, 14310
661, 64, 201, 5287, 10814
683, 100, 208, 5250, 11521
691, 67, 200, 5542, 11521
719, 72, 98, 5082, 6908
733, 68, 247, 6187, 14418
701, 83, 153, 6325, 9506
757, 69, 271, 5059, 16530
677, 82, 163, 5170, 9292
727, 78, 196, 6532, 11569
739, 84, 223, 6056, 13417
743, 84, 154, 6968, 10406
751, 104, 189, 6729, 12110
761, 90, 163, 7365, 10540
769, 80, 230, 7532, 14473
787, 64, 235, 7092, 15681
773, 109, 220, 7404, 13573
797, 90, 216, 7761, 13993
853, 70, 305, 6062, 21450
809, 99, 197, 8794, 14047
823, 89, 259, 7486, 18061
811, 95, 228, 7697, 15183
821, 123, 221, 8946, 14964
877, 78, 309, 5765, 22780
829, 94, 249, 8152, 16880
839, 72, 113, 7077, 9520
827, 116, 235, 8678, 16191
883, 67, 317, 7177, 22848
857, 108, 230, 9421, 16475
859, 79, 239, 9061, 17526
907, 79, 325, 7666, 24290
863, 108, 203, 9676, 14964
881, 94, 207, 10053, 15851
887, 103, 160, 9388, 12505
911, 101, 157, 9646, 13489
937, 94, 307, 10213, 22916
919, 110, 232, 10900, 17765
929, 118, 235, 11607, 18852
947, 129, 318, 10747, 24502
941, 113, 211, 11771, 17114
967, 105, 313, 10882, 24641
997, 86, 359, 8571, 28500
977, 103, 319, 10525, 25777
953, 119, 257, 11522, 21193
971, 115, 188, 12358, 16327
983, 116, 202, 12872, 18017
1033, 76, 375, 9739, 31600
1009, 118, 329, 12079, 27307
991, 120, 265, 12557, 22714
1013, 129, 309, 13295, 25776
1031, 118, 168, 12830, 17096
1021, 95, 325, 12208, 27380
1019, 126, 231, 13494, 20172
1039, 123, 254, 14796, 22580
1093, 81, 404, 9203, 36550
1051, 134, 353, 12605, 30264
1049, 129, 266, 14239, 23332
1061, 145, 326, 14985, 28880
1087, 105, 373, 12991, 33374
1069, 112, 307, 14142, 27904
1117, 105, 397, 11230, 36636
1063, 117, 276, 15128, 25566
1129, 128, 394, 13433, 36722
1091, 104, 189, 14489, 19860
1123, 87, 377, 14499, 35197
1097, 127, 305, 16492, 28283
1103, 134, 270, 16829, 26215
1109, 118, 271, 16706, 25643
1153, 77, 411, 12452, 38544
1151, 124, 179, 15874, 20382
1213, 68, 457, 10625, 45600
1171, 129, 364, 16452, 35787
