Prime,Prime Mod 12,# of Conjugate Pairs,# of Isogenous Conjugate Pairs,% of Isogenous Conjugates
5,5,0,0,0
7,7,0,0,0
11,11,0,0,0
13,1,0,0,0
17,5,0,0,0
19,7,0,0,0
23,11,0,0,0
29,5,0,0,0
31,7,0,0,0
37,1,1,1,1
41,5,0,0,0
43,7,1,1,1
47,11,0,0,0
53,5,1,1,1
59,11,0,0,0
61,1,1,1,1
67,7,2,2,1
71,11,0,0,0
73,1,2,2,1
79,7,1,1,1
83,11,1,1,1
89,5,1,1,1
97,1,3,3,1
101,5,1,1,1
103,7,2,2,1
107,11,2,2,1
109,1,3,3,1
113,5,3,3,1
127,7,3,2,0.6666666667
131,11,1,1,1
137,5,4,3,0.75
139,7,3,2,0.6666666667
149,5,3,3,1
151,7,3,1,0.3333333333
157,1,5,5,1
163,7,6,4,0.6666666667
167,11,2,1,0.5
173,5,4,4,1
179,11,3,2,0.6666666667
181,1,5,4,0.8
191,11,2,2,1
193,1,7,5,0.7142857143
197,5,6,5,0.8333333333
199,7,4,2,0.5
211,7,6,4,0.6666666667
223,7,6,2,0.3333333333
227,11,5,3,0.6
229,1,7,4,0.5714285714
233,5,7,6,0.8571428571
239,11,3,1,0.3333333333
241,1,7,3,0.4285714286
251,11,4,2,0.5
257,5,7,4,0.5714285714
263,11,5,4,0.8
269,5,6,4,0.6666666667
271,7,6,1,0.1666666667
277,1,10,9,0.9
281,5,7,4,0.5714285714
283,7,9,6,0.6666666667
293,5,8,6,0.75
307,7,10,4,0.4
311,11,4,2,0.5
313,1,11,7,0.6363636364
317,5,11,8,0.7272727273
331,7,11,3,0.2727272727
337,1,12,9,0.75
347,11,10,6,0.6
349,1,11,5,0.4545454545
353,5,11,4,0.3636363636
359,11,6,3,0.5
367,7,11,6,0.5454545455
373,1,13,11,0.8461538462
379,7,13,5,0.3846153846
383,11,8,2,0.25
389,5,11,8,0.7272727273
397,1,15,9,0.6
401,5,12,5,0.4166666667
409,1,13,3,0.2307692308
419,11,9,4,0.4444444444
421,1,15,8,0.5333333333
431,11,8,3,0.375
433,1,15,7,0.4666666667
439,7,11,3,0.2727272727
443,11,14,7,0.5
449,5,14,5,0.3571428571
457,1,17,9,0.5294117647
461,5,12,5,0.4166666667
463,7,16,5,0.3125
467,11,13,6,0.4615384615
479,11,8,3,0.375
487,7,17,5,0.2941176471
491,11,12,5,0.4166666667
499,7,18,5,0.2777777778
503,11,11,7,0.6363636364
509,5,14,4,0.2857142857
521,5,14,5,0.3571428571
523,7,17,6,0.3529411765
541,1,20,11,0.55
547,7,20,9,0.45
557,5,19,13,0.6842105263
563,11,15,7,0.4666666667
569,5,16,8,0.5
571,7,19,8,0.4210526316
577,1,22,7,0.3181818182
587,11,18,4,0.2222222222
593,5,19,7,0.3684210526
599,11,13,4,0.3076923077
601,1,20,7,0.35
607,7,19,7,0.3684210526
613,1,23,15,0.652173913
617,5,23,11,0.4782608696
619,7,21,5,0.2380952381
631,7,20,4,0.2
641,5,20,9,0.45
643,7,24,7,0.2916666667
647,11,16,4,0.25
653,5,24,16,0.6666666667
659,11,17,7,0.4117647059
661,1,23,6,0.2608695652
673,1,25,13,0.52
677,5,21,14,0.6666666667
683,11,24,7,0.2916666667
691,7,24,5,0.2083333333
701,5,21,13,0.619047619
709,1,27,12,0.4444444444
719,11,15,4,0.2666666667
727,7,24,8,0.3333333333
733,1,27,14,0.5185185185
739,7,26,6,0.2307692308
743,11,21,8,0.380952381
751,7,24,8,0.3333333333
757,1,29,18,0.6206896552
761,5,22,4,0.1818181818
769,1,27,7,0.2592592593
773,5,26,11,0.4230769231
787,7,28,8,0.2857142857
797,5,26,13,0.5
809,5,26,12,0.4615384615
811,7,27,4,0.1481481481
821,5,27,13,0.4814814815
823,7,30,11,0.3666666667
827,11,28,10,0.3571428571
829,1,29,8,0.275862069
839,11,19,4,0.2105263158
853,1,33,16,0.4848484848
857,5,28,11,0.3928571429
859,7,29,5,0.1724137931
863,11,26,5,0.1923076923
877,1,34,19,0.5588235294
881,5,27,9,0.3333333333
883,7,34,10,0.2941176471
887,11,23,9,0.3913043478
907,7,35,12,0.3428571429
911,11,23,6,0.2608695652
919,7,29,9,0.3103448276
929,5,30,5,0.1666666667
937,1,34,14,0.4117647059
941,5,28,9,0.3214285714
947,11,35,9,0.2571428571
953,5,32,14,0.4375
967,7,35,10,0.2857142857
971,11,26,6,0.2307692308
977,5,36,11,0.3055555556
983,11,28,6,0.2142857143
991,7,33,6,0.1818181818
997,1,38,20,0.5263157895
1009,1,37,11,0.2972972973
1013,5,36,17,0.4722222222
1019,11,30,5,0.1666666667
1021,1,37,6,0.1621621622
1031,11,26,9,0.3461538462
1033,1,40,17,0.425
1039,7,32,4,0.125
