Prime,Prime Mod 12,# of Conjugate Pairs,# of Isogenous Conjugate Pairs,% of Isogenous Conjugates
5,5,0,0,0
7,7,0,0,0
11,11,0,0,0
13,1,0,0,0
17,5,0,0,0
19,7,0,0,0
23,11,0,0,0
29,5,0,0,0
31,7,0,0,0
37,1,1,1,1
41,5,0,0,0
43,7,1,1,1
47,11,0,0,0
53,5,1,1,1
59,11,0,0,0
61,1,1,1,1
67,7,2,2,1
71,11,0,0,0
73,1,2,2,1
79,7,1,1,1
83,11,1,1,1
89,5,1,1,1
97,1,3,3,1
101,5,1,0,0
103,7,2,2,1
107,11,2,1,0.5
109,1,3,2,0.6666666667
113,5,3,2,0.6666666667
127,7,3,2,0.6666666667
131,11,1,0,0
137,5,4,3,0.75
139,7,3,2,0.6666666667
149,5,3,1,0.3333333333
151,7,3,2,0.6666666667
157,1,5,4,0.8
163,7,6,4,0.6666666667
167,11,2,1,0.5
173,5,4,1,0.25
179,11,3,1,0.3333333333
181,1,5,3,0.6
191,11,2,1,0.5
193,1,7,4,0.5714285714
197,5,6,2,0.3333333333
199,7,4,3,0.75
211,7,6,2,0.3333333333
223,7,6,5,0.8333333333
227,11,5,2,0.4
229,1,7,5,0.7142857143
233,5,7,2,0.2857142857
239,11,3,1,0.3333333333
241,1,7,4,0.5714285714
251,11,4,2,0.5
257,5,7,3,0.4285714286
263,11,5,2,0.4
269,5,6,1,0.1666666667
271,7,6,4,0.6666666667
277,1,10,4,0.4
281,5,7,2,0.2857142857
283,7,9,5,0.5555555556
293,5,8,3,0.375
307,7,10,6,0.6
311,11,4,1,0.25
313,1,11,7,0.6363636364
317,5,11,3,0.2727272727
331,7,11,5,0.4545454545
337,1,12,5,0.4166666667
347,11,10,2,0.2
349,1,11,5,0.4545454545
353,5,11,5,0.4545454545
359,11,6,2,0.3333333333
367,7,11,7,0.6363636364
373,1,13,5,0.3846153846
379,7,13,5,0.3846153846
383,11,8,4,0.5
389,5,11,3,0.2727272727
397,1,15,8,0.5333333333
401,5,12,3,0.25
409,1,13,6,0.4615384615
419,11,9,2,0.2222222222
421,1,15,6,0.4
431,11,8,1,0.125
433,1,15,9,0.6
439,7,11,3,0.2727272727
443,11,14,4,0.2857142857
449,5,14,3,0.2142857143
457,1,17,8,0.4705882353
461,5,12,3,0.25
463,7,16,8,0.5
467,11,13,5,0.3846153846
479,11,8,2,0.25
487,7,17,7,0.4117647059
491,11,12,2,0.1666666667
499,7,18,6,0.3333333333
503,11,11,3,0.2727272727
509,5,14,3,0.2142857143
521,5,14,2,0.1428571429
523,7,17,8,0.4705882353
541,1,20,5,0.25
547,7,20,5,0.25
557,5,19,5,0.2631578947
563,11,15,4,0.2666666667
569,5,16,3,0.1875
571,7,19,4,0.2105263158
577,1,22,12,0.5454545455
587,11,18,6,0.3333333333
593,5,19,5,0.2631578947
599,11,13,2,0.1538461538
601,1,20,5,0.25
607,7,19,7,0.3684210526
613,1,23,9,0.3913043478
617,5,23,6,0.2608695652
619,7,21,9,0.4285714286
631,7,20,8,0.4
641,5,20,3,0.15
643,7,24,12,0.5
647,11,16,5,0.3125
653,5,24,4,0.1666666667
659,11,17,2,0.1176470588
661,1,23,9,0.3913043478
673,1,25,6,0.24
677,5,21,4,0.1904761905
683,11,24,4,0.1666666667
691,7,24,8,0.3333333333
701,5,21,3,0.1428571429
709,1,27,8,0.2962962963
719,11,15,2,0.1333333333
727,7,24,12,0.5
733,1,27,12,0.4444444444
739,7,26,7,0.2692307692
743,11,21,4,0.1904761905
751,7,24,5,0.2083333333
757,1,29,11,0.3793103448
761,5,22,4,0.1818181818
769,1,27,10,0.3703703704
773,5,26,7,0.2692307692
787,7,28,11,0.3928571429
797,5,26,7,0.2692307692
809,5,26,3,0.1153846154
811,7,27,6,0.2222222222
821,5,27,3,0.1111111111
823,7,30,9,0.3
827,11,28,5,0.1785714286
829,1,29,9,0.3103448276
839,11,19,3,0.1578947368
853,1,33,12,0.3636363636
857,5,28,4,0.1428571429
859,7,29,10,0.3448275862
863,11,26,5,0.1923076923
877,1,34,8,0.2352941176
881,5,27,5,0.1851851852
883,7,34,11,0.3235294118
887,11,23,3,0.1304347826
907,7,35,10,0.2857142857
911,11,23,3,0.1304347826
919,7,29,6,0.2068965517
929,5,30,4,0.1333333333
937,1,34,12,0.3529411765
941,5,28,3,0.1071428571
947,11,35,7,0.2
953,5,32,5,0.15625
967,7,35,11,0.3142857143
971,11,26,4,0.1538461538
977,5,36,7,0.1944444444
983,11,28,7,0.25
991,7,33,5,0.1515151515
997,1,38,11,0.2894736842
1009,1,37,7,0.1891891892
1013,5,36,7,0.1944444444
1019,11,30,4,0.1333333333
1021,1,37,11,0.2972972973
1031,11,26,2,0.07692307692
1033,1,40,13,0.325
